conditionId,question,end_date,tags,group
0x13d3e3531ecc4d6096ffe53c9a34f73ea56ed9b4404f87366e708d3d3a7be699,Will Fed cut interest rates 5 times in 2024?,2024-12-30T00:00:00Z,"Business,Fed Rates,All,Economy",fed
0x14018049e265a2d88f284be9588e2e3542e3a3df08ccdb344d28355dd7fdd8ef,Will Joe Biden win the 2024 US Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,USA Election,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,democratic party,ron desantis,us elections,gavin newsom,2024 election,kanye west,hillary clinton,kamala harris,robert f. kennedy jr.,chris christie,us presidential election 2024,elizabeth warren,michelle obama,US Election,2024 us presidential election,aoc,bernie sanders,All,potusbanner",election
0x19120414e0b7b170bb81ab518317f6926c2bb633167e4b11981ef7c078cea739,Fed rate cut by July 31?,2024-07-31T00:00:00Z,"Politics,Finance,federal reserve,economy1,interest rates,US Politics,Fed Rates,All",fed
0x198d833c085ed0c858165192e9fd446c5392dbcdedd1132d89c578c0b5c29b2f,Will any other Democrat Politician win the popular vote in the 2024 Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,ron desantis,presidential election,gavin newsom,kanye west,hillary clinton,kamala harris,democrats,presidential election 2024,election,chris christie,elizabeth warren,michelle obama,US Election,aoc,bernie sanders,Popular Vote,voting,All",election
0x1e14c1e407a8aa7a727fadf74049b255a93f1c22f137d6a244ea64604b5b36d5,Fed rate cut by June 12?,2024-06-12T00:00:00Z,"Politics,Finance,federal reserve,economy1,interest rates,US Politics,Fed Rates,All",fed
0x1e3afb4a670b4c28b8a2742ef61830023bb39809260af94908392cc7c9fdb7ca,Will the Fed decrease interest rates by 25 bps after its July meeting?,2023-07-25T00:00:00Z,All,fed
0x2010ff3939e8e664dd57369aa907bbaa6d03ae18be27fe3ab2f4cdcb95a8b2ab,Will a Republican win the popular vote and the Presidency?,2024-11-05T00:00:00Z,"Politics,USA Election,presidential election 2024,election,US Election,Popular Vote,Electoral College ",election
0x215625b9e962f3f499f832c77dd4caa400bd8435369b5fd65e8673c8b2c4da66,Will Michelle Obama win the popular vote in the 2024 Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,ron desantis,presidential election,gavin newsom,kanye west,hillary clinton,kamala harris,democrats,presidential election 2024,election,chris christie,elizabeth warren,michelle obama,US Election,aoc,bernie sanders,Popular Vote,voting,All",election
0x230144e34a84dfd0ebdc6de7fde37780e28154f6f84dd8880c7f0e58d302d448,Will Michelle Obama win the 2024 US Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,USA Election,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,democratic party,ron desantis,us elections,gavin newsom,2024 election,kanye west,hillary clinton,kamala harris,robert f. kennedy jr.,chris christie,us presidential election 2024,elizabeth warren,michelle obama,US Election,2024 us presidential election,aoc,bernie sanders,All,potusbanner",election
0x26000a18ec71be1c8dc92eeb52d274d561da9081bdae520968bb27f80ed453df,Will the Fed raise interest rates by 25 bps after its January meeting?,2024-01-31T00:00:00Z,"Finance,federal reserve,economy1,interest rates,monetary policy,Fed,All",fed
0x260fd9d6b10746909a26c2af7a68b409f757c95a07dc57ddd480774a36c8399b,Will Fed cut interest rates 3 times in 2024?,2024-12-30T00:00:00Z,"Business,Fed Rates,All,Economy",fed
0x265366ede72d73e137b2b9095a6cdc9be6149290caa295738a95e3d881ad0865,Kamala Harris wins the popular vote?,2024-11-05T00:00:00Z,"Politics,Joe Biden,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,ron desantis,presidential election,gavin newsom,kanye west,hillary clinton,kamala harris,democrats,presidential election 2024,election,chris christie,elizabeth warren,michelle obama,US Election,aoc,bernie sanders,Popular Vote,voting,All",election
0x26ee82bee2493a302d21283cb578f7e2fff2dd15743854f53034d12420863b55,Which party wins 2024 US Presidential Election?,2024-11-08T00:00:00Z,"Politics,USA Election,2024 presidential election,Elections,United States,All",election
0x29f8437fee9a3c972bcdc483874dc6f5192142a2158e999ace849dedb342d671,Fed rate cut by May 1?,2024-05-01T00:00:00Z,"Politics,Finance,federal reserve,economy1,interest rates,US Politics,Fed Rates,All",fed
0x2d606a51f902a4d934a4b810dd77cb28bb8e40268f42354057b5a47f9799efad,Will Michelle Obama win the 2024 Democratic Presidential Nomination?,2024-08-19T00:00:00Z,"Politics,Joe Biden,USA Election,2024 presidential election,Elections,democratic party,presidential election,gavin newsom,2024 election,presidential nomination,hillary clinton,kamala harris,2024 nomination,democrats,election,dean phillips,robert f. kennedy jr.,elizabeth warren,michelle obama,2024 presidential nomination,All,Dem Nominee",election
0x2edbdabce90c3dfa1125836396c80762fa3bf09eaf5e611e4a2fd4a13ce81c25,Will the Fed decrease interest rates by 25 bps after its June meeting?,2023-06-12T00:00:00Z,All,fed
0x3120827dc12167d09fd9f08233e2b540054a2ed90aad65c023bc1da9d38b29d9,Will Elizabeth Warren win the 2024 US Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,USA Election,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,democratic party,ron desantis,us elections,gavin newsom,2024 election,kanye west,hillary clinton,kamala harris,robert f. kennedy jr.,chris christie,us presidential election 2024,elizabeth warren,michelle obama,US Election,2024 us presidential election,aoc,bernie sanders,All,potusbanner",election
0x34b8fa269775d034f3d98b6848e0a7c5212efcaa0c98e6f8fb54c5d6f72b3705,Will any other Republican Politician win the popular vote in the 2024 Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,ron desantis,presidential election,gavin newsom,kanye west,hillary clinton,kamala harris,democrats,presidential election 2024,election,chris christie,elizabeth warren,michelle obama,US Election,aoc,bernie sanders,Popular Vote,voting,All",election
0x373f49179e6675ebf892ab562da3ca812280705e530dab69a30712ee13b22b49,Will a candidate from another party win Illinois Presidential Election?,2024-11-05T00:00:00Z,"Politics,US Election,State Presidential Election,All",election
0x39739e38954e57138565a5b3acf5209c902b495a5c89b09b8b39812768cb3a59,Will a candidate from another party win Virginia Presidential Election?,2024-11-05T00:00:00Z,"Politics,US Election,State Presidential Election,All",election
0x3aacd25625f8dbf5bc0407d622067c2eb5706937a25cdba448f12aea6f38a2c3,Fed rate cut by January 31?,2024-01-31T00:00:00Z,"Politics,Finance,federal reserve,economy1,interest rates,US Politics,Fed Rates,All",fed
0x3ac961dca3c4f0fc34bf94c661962012ab5e8bcdcadfc99affa06eddde00b29f,Biden drops out of presidential race?,2024-11-05T00:00:00Z,"Politics,Joe Biden,USA Election,Elections,Biden,presidential race,Breaking News,All,POTUS,Biden Drop Out",election
0x3faf3dbf90050968deafdc980118910ebe8d2410a573bc265ba81fc4658c793b,Will someone else win the 2024 Democratic Presidential Nomination?,2024-08-19T00:00:00Z,"Politics,Joe Biden,USA Election,2024 presidential election,Elections,democratic party,presidential election,gavin newsom,2024 election,presidential nomination,hillary clinton,kamala harris,2024 nomination,democrats,election,dean phillips,robert f. kennedy jr.,elizabeth warren,michelle obama,2024 presidential nomination,All,Dem Nominee",election
0x4057c2528a3815d460f0c5889f52a914745b23400c4548804afee8f9c4a56ec3,Fed rate cut by December 18?,2024-12-18T00:00:00Z,"Politics,Finance,federal reserve,economy1,interest rates,US Politics,Fed Rates,All",fed
0x40bbdd26dc08406eedcb913efee7f7faddf50e16fc21caedb4972d57fd71e0d1,Will Gavin Newsom win the 2024 US Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,USA Election,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,democratic party,ron desantis,us elections,gavin newsom,2024 election,kanye west,hillary clinton,kamala harris,robert f. kennedy jr.,chris christie,us presidential election 2024,elizabeth warren,michelle obama,US Election,2024 us presidential election,aoc,bernie sanders,All,potusbanner",election
0x42e7fa3bd683a276dae0292f0ab910ac18eb76ce7cf014ec9203f6539768735a,Will Fed cut interest rates 2 times in 2024?,2024-12-30T00:00:00Z,"Business,Fed Rates,All,Economy",fed
0x4a5b5f52c6e7f2af6b06462c92d12ea7bd1662c87be11828da0722ff32373b36,Fed rate hike in 2024?,2024-12-18T00:00:00Z,"Business,Fed Rates,All",fed
0x4c21fdaee92538da1af2d227e7688673fe8789decff537003cd3b67b0ecb1b8d,Fed increases interest rates by 25+ bps after June 2024 meeting?,2024-06-12T00:00:00Z,"Politics,Finance,interest rates,Fed Rates,All",fed
0x50555c7f34fc16f03d84dd3c5f416506e53455515a8ca82c0fa90a2f8cacb5d3,Will the Fed increase interest rates by 50 bps after its May meeting?,2023-05-02T00:00:00Z,All,fed
0x534da3946b8da84a8687e346e735fcc1d7c7078c057b1a7769cb9991b3e67968,Will Gavin Newsom win the popular vote in the 2024 Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,ron desantis,presidential election,gavin newsom,kanye west,hillary clinton,kamala harris,democrats,presidential election 2024,election,chris christie,elizabeth warren,michelle obama,US Election,aoc,bernie sanders,Popular Vote,voting,All",election
0x547171b466f04230c9a6bfd13a71fb24de3442e10ce5cea95232d970f36fd5bf,Democrats and Republicans both lose the 2024 Presidential Election?,2024-11-05T00:00:00Z,"Politics,republicans,2024 presidential election,Elections,presidential election,presidential race,2024 election,U.S. Politics,democrats,election,US Politics,election results,gop,points: politics,points lead. tags: 2024 presidential election,election forecasting.,electoral votes,electoral votes: politics,electoral votes: tags: politics,US Election,All,Margin of Victory",election
0x55c551896c10a74861f2fd88b4f928694310114704cc74b29b9760d1156cade6,Will any other Republican Politician win the 2024 US Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,USA Election,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,democratic party,ron desantis,us elections,gavin newsom,2024 election,kanye west,hillary clinton,kamala harris,robert f. kennedy jr.,chris christie,us presidential election 2024,elizabeth warren,michelle obama,US Election,2024 us presidential election,aoc,bernie sanders,All,potusbanner",election
0x5df9458d9918da733d784bc2a07768b293d10826385a3eb31dd716f99475dc79,Fed decreases interest rates by 50+ bps after June 2024 meeting?,2024-06-12T00:00:00Z,"Politics,Finance,interest rates,Fed Rates,All",fed
0x5e9dcbf5748f0d4df34dc4795add11e59d529dbd08bd597966e8cb83a266565a,Will the Fed raise interest rates by 25 bps after its July meeting?,2023-07-25T00:00:00Z,All,fed
0x63634b4e14297a748923f86dca4fa0c6c659db0f5fadeeb8e419e48e20759c34,Will Hillary Clinton win the 2024 US Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,USA Election,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,democratic party,ron desantis,us elections,gavin newsom,2024 election,kanye west,hillary clinton,kamala harris,robert f. kennedy jr.,chris christie,us presidential election 2024,elizabeth warren,michelle obama,US Election,2024 us presidential election,aoc,bernie sanders,All,potusbanner",election
0x642926331d650ed2e4e1da2593f388cd803b4f283e09218fc1c5de90087b585c,Fed rate cut by November 7?,2024-11-07T00:00:00Z,"Politics,Finance,federal reserve,economy1,interest rates,US Politics,Fed Rates,All",fed
0x653483009043f1663360bc35ed8fb542d3f9453916082d20ff025adaa2fe7032,Will Joe Biden win the 2024 Democratic Presidential Nomination?,2024-08-19T00:00:00Z,"Politics,Joe Biden,USA Election,2024 presidential election,Elections,democratic party,presidential election,gavin newsom,2024 election,presidential nomination,hillary clinton,kamala harris,2024 nomination,democrats,election,dean phillips,robert f. kennedy jr.,elizabeth warren,michelle obama,2024 presidential nomination,All,Dem Nominee",election
0x67a072e839762191a7931e405923110d52343ef6dc1d61cfc0720233951c03e4,No change in Fed interest rates after 2024 June meeting?,2024-06-12T00:00:00Z,"Politics,Finance,interest rates,Fed Rates,All",fed
0x692cf1efb4aeb95f38a02b2b06085fee7f0e531967e12b996d4a1efeb1d570cf,Will the Fed raise interest rates by 0 bps after its July meeting?,2023-07-25T00:00:00Z,All,fed
0x696baf880832d000a37ea87cc94235b1ac58e7e9fe7a144ccf5d141877629134,Will Vivek Ramaswamy win the 2024 US Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,USA Election,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,democratic party,ron desantis,us elections,gavin newsom,2024 election,kanye west,hillary clinton,kamala harris,robert f. kennedy jr.,chris christie,us presidential election 2024,elizabeth warren,michelle obama,US Election,2024 us presidential election,aoc,bernie sanders,All,potusbanner",election
0x70ee5e1d18a794f36d3c50b7215bd203e00f702d71fa0f0014466f98afe35a09,Will the Fed decrease interest rates by 25 bps after its 2024 March meeting?,2024-03-18T00:00:00Z,"Business,Finance,economy1,interest rates,monetary policy,Fed,march meeting,All",fed
0x73ac4c1e5be0a89685328c9f5b833d828ffd62dfa07ceaf8536edbc43aa5f51e,Will Kanye West win the 2024 US Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,USA Election,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,democratic party,ron desantis,us elections,gavin newsom,2024 election,kanye west,hillary clinton,kamala harris,robert f. kennedy jr.,chris christie,us presidential election 2024,elizabeth warren,michelle obama,US Election,2024 us presidential election,aoc,bernie sanders,All,potusbanner",election
0x78e20dcb15d578061a6df0c5014d66cc21244bad6848336f3513493c65cf09c1,"2024 Balance of Power: R Prez, R Senate, D House",2024-11-05T00:00:00Z,"Politics,U.S. Politics,u.s. election,american politics,US Politics,All",election
0x7da35195ac3c7bf167f88ab0c27067a99020e36de67d39968b71d9debcdd925e,Will Robert F. Kennedy Jr. win the 2024 US Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,USA Election,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,democratic party,ron desantis,us elections,gavin newsom,2024 election,kanye west,hillary clinton,kamala harris,robert f. kennedy jr.,chris christie,us presidential election 2024,elizabeth warren,michelle obama,US Election,2024 us presidential election,aoc,bernie sanders,All,potusbanner",election
0x814f5f4ed96cc3666fc05923f42bb1fd7f9c436dfc923d06a624904bbe0b05f8,Will the Fed increase interest rates by 25 bps after its June meeting?,2023-06-13T00:00:00Z,All,fed
0x86797195cdde3c3a30e2b1b9503bc727fe787845228e9876ed9bc380aa021148,Fed decreases interest rates by 25 bps after June 2024 meeting?,2024-06-12T00:00:00Z,"Politics,Finance,interest rates,Fed Rates,All",fed
0x95153ddd005326dc5dcadbeccc51ffad40e0fa9dac5bd18b242b42eed61d3a6c,Will the Fed raise interest rates by 0 bps after its January meeting?,2024-01-31T00:00:00Z,"Finance,federal reserve,economy1,interest rates,monetary policy,Fed,All",fed
0x96f6fb6567b5938fc3c2e75f9829d7287340b9581a9c4817b8bc0aff82e1c45f,2024 Balance of Power: R Prez R Senate R House,2024-11-05T00:00:00Z,"Politics,U.S. Politics,u.s. election,american politics,US Politics,All",election
0x972520d8ed44dcd71fff95b44e2593750d0e44323a5ccd2ce4bbbc540427bce9,Will a candidate from another party win Michigan Presidential Election?,2024-11-04T00:00:00Z,"Politics,republican party,Elections,presidential election,democrat,third party,michigan,US Election,Swing States,State Presidential Election,All",election
0x9876cd5626a39e33e073159b813199f48ee860c8279f67244ee085dc7a9f0b41,Will the Fed increase interest rates by 25 bps after its May meeting?,2023-05-02T00:00:00Z,All,fed
0x9b277b355e9fff465381229667e064abb97ee74934af5e1a2278293f41e69708,Will Dean Phillips win the 2024 Democratic Presidential Nomination?,2024-08-19T00:00:00Z,"Politics,Joe Biden,USA Election,2024 presidential election,Elections,democratic party,presidential election,gavin newsom,2024 election,presidential nomination,hillary clinton,kamala harris,2024 nomination,democrats,election,dean phillips,robert f. kennedy jr.,elizabeth warren,michelle obama,2024 presidential nomination,All,Dem Nominee",election
0x9d1f0296f3a016727193d2b45704e0debc3b8048fe0715f8bb1e91550d321872,Will Fed cut interest rates 4 times in 2024?,2024-12-30T00:00:00Z,"Business,Fed Rates,All,Economy",fed
0x9e9071636d176562592a98dfede865385ba0cff7864cfa01f0479ca6e9e26e1b,Will Kamala Harris win the 2024 Democratic Presidential Nomination?,2024-08-19T00:00:00Z,"Politics,Joe Biden,USA Election,2024 presidential election,Elections,democratic party,presidential election,gavin newsom,2024 election,presidential nomination,hillary clinton,kamala harris,2024 nomination,democrats,election,dean phillips,robert f. kennedy jr.,elizabeth warren,michelle obama,2024 presidential nomination,All,Dem Nominee",election
0xa0811c97f529d627b7774a5b188e605736b745a1f892c39e16c5a022fdb84b8b,Fed rate cut by September 18?,2024-09-18T00:00:00Z,"Politics,Finance,federal reserve,economy1,interest rates,US Politics,Fed Rates,All",fed
0xa1d06c273030c75b85ecfee08b2ff1f0e510c07f12152f81c707eb83deaab8ba,No change in Fed raise interest rates after its 2024 March meeting?,2024-03-18T00:00:00Z,"Business,Finance,economy1,interest rates,monetary policy,Fed,march meeting,All",fed
0xa6e7131f295407c7f56304d6a368a3b98ec280e162bfb38537da392305b202cb,Will a candidate from another party win Ohio US Senate Election?,2024-11-05T00:00:00Z,"Politics,Elections,us elections,senates,elections 2024,US Election,bernie moreno,Senate,All,brown,sherrod brown,moreno",election
0xa81f535a21c9fc890b335131ad726476605c563ad6b9a096568a0556db26987a,Fed rate cut by March 20?,2024-03-20T00:00:00Z,"Politics,Finance,federal reserve,economy1,interest rates,US Politics,Fed Rates,All",fed
0xa923afcb8297e3ade170f2f8c088f3c277557fadef2c67054d72cc59f8504b2b,Will a Republican win Pennsylvania Presidential Election?,2024-11-05T00:00:00Z,"Politics,republican party,Elections,presidential election,democrats,pennsylvania,third party,US Election,Swing States,State Presidential Election,All",election
0xab0132a0b89e43d95c2643ac835877c757849e9a64ebac3c9f0c4696db41a288,Will a 3rd party candidate win the popular vote or the Presidency?,2024-11-05T00:00:00Z,"Politics,USA Election,presidential election 2024,election,US Election,Popular Vote,Electoral College ",election
0xac7162f96876ea602d984de6f9800b8a4b8a45897e798a7630d9e004ae5b9a0b,Will a Republican win Arizona US Senate Election?,2024-11-05T00:00:00Z,"Politics,U.S. Politics,senates,u.s. election,u.s. senate,kari lake,US Politics,US Election,Senate,All,gallego,lake",election
0xac95a5009e493902628eaaa2138780fca5b5476825924ae7de023e8c65917662,Will the Fed raise interest rates by 0 bps after its December meeting?,2023-12-12T00:00:00Z,"Finance,economy1,interest rates,monetary policy,Fed,economics,All",fed
0xad6d309aaa500d96855996e84da00dfb2379548a693ca684d0877cf94fec05d1,Will Ron DeSantis win the 2024 US Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,USA Election,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,democratic party,ron desantis,us elections,gavin newsom,2024 election,kanye west,hillary clinton,kamala harris,robert f. kennedy jr.,chris christie,us presidential election 2024,elizabeth warren,michelle obama,US Election,2024 us presidential election,aoc,bernie sanders,All,potusbanner",election
0xafde9e890a2db339b6515cd75c2d09574dcaf731b483a1ef6ea0a3abc5ec8abd,Will a Democrat win the popular vote and the Presidency?,2024-11-05T00:00:00Z,"Politics,USA Election,presidential election 2024,election,US Election,Popular Vote,Electoral College ",election
0xb26fd99a7b7bae4e13c9bb3becf65353708a805f9c1aea74484d107e6ba512cd,Biden wins the Popular Vote?,2024-11-05T00:00:00Z,"Politics,Joe Biden,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,ron desantis,presidential election,gavin newsom,kanye west,hillary clinton,kamala harris,democrats,presidential election 2024,election,chris christie,elizabeth warren,michelle obama,US Election,aoc,bernie sanders,Popular Vote,voting,All",election
0xb3b8ce34ae09a3d89aa860f033a2309b28f4712b1879bc5c6f787df3788e5d1d,Will the Fed raise interest rates by 0 bps after its November meeting?,2023-10-31T00:00:00Z,All,fed
0xb3e11395bc67c2ad811de3ea4f58d47778e7a7d209eb73bc04a21c5a7472c186,Will Fed cut interest rates 1 time in 2024?,2024-12-30T00:00:00Z,"Business,Fed Rates,All,Economy",fed
0xb92f22143e7b48609a82573fa8197dc73683a15acb467b0f51ee63da7e3f520b,Will any other Democratic Politician win the 2024 US Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,USA Election,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,democratic party,ron desantis,us elections,gavin newsom,2024 election,kanye west,hillary clinton,kamala harris,robert f. kennedy jr.,chris christie,us presidential election 2024,elizabeth warren,michelle obama,US Election,2024 us presidential election,aoc,bernie sanders,All,potusbanner",election
0xbb01eefb24a38a9aa1921ec168d3049e7374b28a2540937d06b3ff2524d66627,Will a Republican win Michigan Presidential Election?,2024-11-05T00:00:00Z,"Politics,republican party,Elections,presidential election,democrat,third party,michigan,US Election,Swing States,State Presidential Election,All",election
0xc53c00d3ed7df96cb528e049ca2d8a6056b620a82bfffd3ad58d35c5f92c02d6,Will a Democrat win the popular vote and a Republican win the Presidency?,2024-11-05T00:00:00Z,"Politics,USA Election,presidential election 2024,election,US Election,Popular Vote,Electoral College ",election
0xc6485bb7ea46d7bb89beb9c91e7572ecfc72a6273789496f78bc5e989e4d1638,Will Kamala Harris win the 2024 US Presidential Election?,2024-11-04T00:00:00Z,"Politics,Joe Biden,USA Election,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,democratic party,ron desantis,us elections,gavin newsom,2024 election,kanye west,hillary clinton,kamala harris,robert f. kennedy jr.,chris christie,us presidential election 2024,elizabeth warren,michelle obama,US Election,2024 us presidential election,aoc,bernie sanders,All,potusbanner",election
0xcd1b6b71a1964f15e2c14809594cbfa0d576270e8ef94c8c24913121097e09e5,Will Donald Trump win the popular vote in the 2024 Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,ron desantis,presidential election,gavin newsom,kanye west,hillary clinton,kamala harris,democrats,presidential election 2024,election,chris christie,elizabeth warren,michelle obama,US Election,aoc,bernie sanders,Popular Vote,voting,All",election
0xced9f9d90c94db9f1e1dbd7d9fba82fe4fa7431c0d4e91e28896c8ac2d6acadd,Will Nikki Haley win the 2024 US Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,USA Election,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,democratic party,ron desantis,us elections,gavin newsom,2024 election,kanye west,hillary clinton,kamala harris,robert f. kennedy jr.,chris christie,us presidential election 2024,elizabeth warren,michelle obama,US Election,2024 us presidential election,aoc,bernie sanders,All,potusbanner",election
0xd1cce1f51effdf3957144fdc87b5e8aace1d1f7ab21976a046b71744ecad8443,Will AOC win the 2024 US Presidential Election?,2024-11-05T00:00:00Z,"Politics,Joe Biden,USA Election,republican party,vivek ramaswamy,2024 presidential election,Trump,nikki haley,Elections,democratic party,ron desantis,us elections,gavin newsom,2024 election,kanye west,hillary clinton,kamala harris,robert f. kennedy jr.,chris christie,us presidential election 2024,elizabeth warren,michelle obama,US Election,2024 us presidential election,aoc,bernie sanders,All,potusbanner",election
0xd28eff5dc23bc2520042f8722add1afc39cdc9ea00650262e75a5d3bafeed06b,Will Robert F. Kennedy Jr. win the 2024 Democratic Presidential Nomination?,2024-08-19T00:00:00Z,"Politics,Joe Biden,USA Election,2024 presidential election,Elections,democratic party,presidential election,gavin newsom,2024 election,presidential nomination,hillary clinton,kamala harris,2024 nomination,democrats,election,dean phillips,robert f. kennedy jr.,elizabeth warren,michelle obama,2024 presidential nomination,All,Dem Nominee",election
0xd4a957e7b51fc2e74c4f1909583972011772eda01aada975251aeaffbbc73f56,Will the Fed decrease interest rates by 50+ bps after its March 2024 meeting?,2024-03-18T00:00:00Z,"Business,Finance,economy1,interest rates,monetary policy,Fed,march meeting,All",fed
0xd6f4c41fd20b8c6d5b48d528ead981d8fdf3da99d05018443e2d5bc60085e3dd,Will Gavin Newsom win the 2024 Democratic Presidential Nomination?,2024-08-19T00:00:00Z,"Politics,Joe Biden,USA Election,2024 presidential election,Elections,democratic party,presidential election,gavin newsom,2024 election,presidential nomination,hillary clinton,kamala harris,2024 nomination,democrats,election,dean phillips,robert f. kennedy jr.,elizabeth warren,michelle obama,2024 presidential nomination,All,Dem Nominee",election
0xdcb247a07c561e4d960cd5bd9346bfcd205a9ae6557263b390e93f9e90ca56ee,Will the Fed increase interest rates by 0 bps after its June meeting?,2023-06-13T00:00:00Z,All,fed
