conditionId,question,group,end_date,n_increments,in_mle_29
0x814f5f4ed96cc3666fc05923f42bb1fd7f9c436dfc923d06a624904bbe0b05f8,Will the Fed increase interest rates by 25 bps after its June meeting?,fed,2023-06-13T00:00:00Z,41,False
0x86797195cdde3c3a30e2b1b9503bc727fe787845228e9876ed9bc380aa021148,Fed decreases interest rates by 25 bps after June 2024 meeting?,fed,2024-06-12T00:00:00Z,41,False
0x95153ddd005326dc5dcadbeccc51ffad40e0fa9dac5bd18b242b42eed61d3a6c,Will the Fed raise interest rates by 0 bps after its January meeting?,fed,2024-01-31T00:00:00Z,53,True
0x9876cd5626a39e33e073159b813199f48ee860c8279f67244ee085dc7a9f0b41,Will the Fed increase interest rates by 25 bps after its May meeting?,fed,2023-05-02T00:00:00Z,55,True
0x9d1f0296f3a016727193d2b45704e0debc3b8048fe0715f8bb1e91550d321872,Will Fed cut interest rates 4 times in 2024?,fed,2024-12-30T00:00:00Z,271,True
0xa0811c97f529d627b7774a5b188e605736b745a1f892c39e16c5a022fdb84b8b,Fed rate cut by September 18?,fed,2024-09-18T00:00:00Z,193,True
0xa1d06c273030c75b85ecfee08b2ff1f0e510c07f12152f81c707eb83deaab8ba,No change in Fed raise interest rates after its 2024 March meeting?,fed,2024-03-18T00:00:00Z,49,True
0xa81f535a21c9fc890b335131ad726476605c563ad6b9a096568a0556db26987a,Fed rate cut by March 20?,fed,2024-03-20T00:00:00Z,93,True
0xac95a5009e493902628eaaa2138780fca5b5476825924ae7de023e8c65917662,Will the Fed raise interest rates by 0 bps after its December meeting?,fed,2023-12-12T00:00:00Z,50,True
0xb3b8ce34ae09a3d89aa860f033a2309b28f4712b1879bc5c6f787df3788e5d1d,Will the Fed raise interest rates by 0 bps after its November meeting?,fed,2023-10-31T00:00:00Z,42,True
0xb3e11395bc67c2ad811de3ea4f58d47778e7a7d209eb73bc04a21c5a7472c186,Will Fed cut interest rates 1 time in 2024?,fed,2024-12-30T00:00:00Z,180,False
0xd4a957e7b51fc2e74c4f1909583972011772eda01aada975251aeaffbbc73f56,Will the Fed decrease interest rates by 50+ bps after its March 2024 meeting?,fed,2024-03-18T00:00:00Z,48,False
0xdcb247a07c561e4d960cd5bd9346bfcd205a9ae6557263b390e93f9e90ca56ee,Will the Fed increase interest rates by 0 bps after its June meeting?,fed,2023-06-13T00:00:00Z,41,True
0xdf3b361f2617570e0abc10ece5e350a979c5e1e58ad5a2b5147e023ade4d9311,Will the Fed raise interest rates by 25+ bps after its 2024 March meeting?,fed,2024-03-18T00:00:00Z,48,False
0xe83e0658c0c1cdfc4e2e4a82128307cc9b4c2cd0239c321f5a8f8a5ec38ae6b9,Will the Fed increase interest rates by 0 bps after its May meeting?,fed,2023-05-02T00:00:00Z,55,False
